Слово,"Частота встречи, раз",Частота встречаемости в %
sentira,1,0.00017085810063883846
sel,1,0.00017085810063883846
moscou,37,0.006321749723637022
dame,2,0.0003417162012776769
valets,1,0.00017085810063883846
chambre,3,0.0005125743019165154
visites,3,0.0005125743019165154
envisagera,1,0.00017085810063883846
chose,21,0.003588020113415607
terrible,11,0.0018794391070272227
avec,39,0.006663465924914698
petit,17,0.0029045877108602536
air,3,0.0005125743019165154
innocent,1,0.00017085810063883846
plains,3,0.0005125743019165154
officier,8,0.0013668648051107077
airs,1,0.00017085810063883846
disiez,2,0.0003417162012776769
dames,6,0.0010251486038330307
russes,7,0.001196006704471869
valaient,1,0.00017085810063883846
savoir,7,0.001196006704471869
lle,121,0.02067383017729945
messieurs,9,0.001537722905749546
ha,1,0.00017085810063883846
fameux,2,0.0003417162012776769
honneur,17,0.0029045877108602536
parlez,8,0.0013668648051107077
veux,3,0.0005125743019165154
entendre,5,0.0008542905031941922
parler,6,0.0010251486038330307
dis,9,0.001537722905749546
tellement,5,0.0008542905031941922
bonsoir,3,0.0005125743019165154
caustique,3,0.0005125743019165154
femmes,13,0.0022211553083048997
fini,5,0.0008542905031941922
sans,21,0.003588020113415607
nom,18,0.003075445811499092
fortune,5,0.0008542905031941922
vin,4,0.0006834324025553538
comtesse,13,0.0022211553083048997
longtemps,3,0.0005125743019165154
elle,34,0.005809175421720507
bal,2,0.0003417162012776769
razoumowsky,1,0.00017085810063883846
apraksine,5,0.0008542905031941922
heureuse,3,0.0005125743019165154
maman,27,0.004613168717248638
temps,11,0.0018794391070272227
bonjour,7,0.001196006704471869
cousin,17,0.0029045877108602536
cousinage,3,0.0005125743019165154
dangereux,5,0.0008542905031941922
voisinage,3,0.0005125743019165154
genlis,4,0.0006834324025553538
rose,1,0.00017085810063883846
allons,8,0.0013668648051107077
faisait,3,0.0005125743019165154
cour,3,0.0005125743019165154
grandeurs,1,0.00017085810063883846
lui,44,0.007517756428108891
nathalie,9,0.001537722905749546
boris,4,0.0006834324025553538
promis,4,0.0006834324025553538
lorrain,1,0.00017085810063883846
donc,16,0.0027337296102214153
positif,2,0.0003417162012776769
errare,1,0.00017085810063883846
humanum,1,0.00017085810063883846
pu,15,0.002562871509582576
concevoir,1,0.00017085810063883846
ours,1,0.00017085810063883846
mal,11,0.0018794391070272227
personnage,1,0.00017085810063883846
stupide,1,0.00017085810063883846
joueur,2,0.0003417162012776769
brave,5,0.0008542905031941922
son,43,0.007346898327470054
filleuil,1,0.00017085810063883846
salut,4,0.0006834324025553538
devoirs,5,0.0008542905031941922
reconnaissais,1,0.00017085810063883846
viens,4,0.0006834324025553538
arriver,3,0.0005125743019165154
aider,3,0.0005125743019165154
soigner,1,0.00017085810063883846
oncle,2,0.0003417162012776769
imagine,1,0.00017085810063883846
combien,4,0.0006834324025553538
souffert,3,0.0005125743019165154
serais,3,0.0005125743019165154
content,1,0.00017085810063883846
cousine,4,0.0006834324025553538
reconnaissez,1,0.00017085810063883846
conduisez,2,0.0003417162012776769
ici,10,0.0017085810063883844
finirez,1,0.00017085810063883846
angleterre,2,0.0003417162012776769
pitt,4,0.0006834324025553538
traitre,1,0.00017085810063883846
nation,8,0.0013668648051107077
jacquot,2,0.0003417162012776769
adieu,7,0.001196006704471869
soutienne,1,0.00017085810063883846
dragon,1,0.00017085810063883846
comptez,2,0.0003417162012776769
rentes,1,0.00017085810063883846
balance,1,0.00017085810063883846
proverbe,2,0.0003417162012776769
oui,13,0.0022211553083048997
razoumovsky,1,0.00017085810063883846
tortue,1,0.00017085810063883846
rabattu,1,0.00017085810063883846
caquet,1,0.00017085810063883846
autriche,4,0.0006834324025553538
soit,7,0.001196006704471869
notre,33,0.0056383173210816685
connaissez,1,0.00017085810063883846
convient,1,0.00017085810063883846
merveille,1,0.00017085810063883846
plate,2,0.0003417162012776769
couture,2,0.0003417162012776769
demande,9,0.001537722905749546
peu,7,0.001196006704471869
venez,8,0.0013668648051107077
croit,1,0.00017085810063883846
campagne,4,0.0006834324025553538
cremortartari,1,0.00017085810063883846
causons,1,0.00017085810063883846
